"source","target","weight"
"X","X192XX106X3X5X91XX7X5X8X*",1
"X","X192XX106XX1X88X1X1X1X2X*",1
"X","X193X1X192X*",1
"X","X193X44X42X100X5X91X90X96X3X*",1
"X","X194X*",1
"X","X194X3X104X2X4X84X176XX10X*",1
"X","X195X*",1
"X","X195X197X*",1
"X","X196X*",1
"X","X19X*",1
"X","X19X16X*",1
"X","X19X1X*",1
"X","X19X20X*",1
"X","X19X21X*",1
"X","X19X25X*",1
"X","X19X43X66X45XX*",1
"X","X19X46X51X76X*",1
"X","X19XX*",1
"X","X19XX15X3X*",1
"X","X19XX1X2X*",1
"X","X1X*",11
"X","X1X108X*",1
"X","X1X108X2X*",1
"X","X1X113X*",1
"X","X1X11X*",1
"X","X1X11X12X6XX*",1
"X","X1X11X24X*",1
"X","X1X12X*",1
"X","X1X12XX*",1
"X","X1X132X134X6X3X62X56X*",1
"X","X1X135X144X3X2X58X2X*",1
"X","X1X136X131X*",1
"X","X1X13X*",1
"X","X1X14X*",1
"X","X1X14X7X*",1
"X","X1X16X*",1
"X","X1X16X22X23X*",1
"X","X1X179X*",1
"X","X1X179XX*",1
"X","X1X181X*",1
"X","X1X181X182X123X73X*",1
"X","X1X183X184X*",1
"X","X1X18X*",1
"X","X1X18X27X*",1
"X","X1X192X2X101X83X89X92XX1X*",1
"X","X1X19X44X*",1
"X","X1X1X*",1
"X","X1X1X14XX8X*",1
"X","X1X1X1X*",1
"X","X1X1X22X*",1
"X","X1X1X23X26X*",1
"X","X1X1X3XX60X*",1
"X","X1X1X4X*",1
"X","X1X1X6X3X59XX52X*",1
"X","X1X1XX*",1
"X","X1X1XX1X*",1
"X","X1X209X*",1
"X","X1X20X*",1
"X","X1X20X21X*",1
"X","X1X20X62X60X19X*",1
"X","X1X20X74X*",1
"X","X1X21X*",1
"X","X1X22X*",1
"X","X1X23X*",1
"X","X1X23X65X1X*",1
"X","X1X23XX35X*",1
"X","X1X24X*",1
"X","X1X24X20X6X*",1
"X","X1X257X*",1
"X","X1X25X2X5X*",1
"X","X1X26X21XX*",1
"X","X1X27X*",1
"X","X1X2X*",1
"X","X1X2X16XX*",1
"X","X1X2X19X21X*",1
"X","X1X2X1X*",1
"X","X1X2X1X18X*",1
"X","X1X2X31X*",1
"X","X1X2X3X*",1
"X","X1X2X5X*",1
"X","X1X2X63X16X*",1
"X","X1X2XX*",1
"X","X1X2XX128X133X*",1
"X","X1X2XX2X*",1
"X","X1X2XX6X3X62X1X56X*",1
"X","X1X2XXX*",1
"X","X1X33X*",1
"X","X1X340X1X26X*",1
"X","X1X37X1X*",1
"X","X1X38X39X1X*",1
"X","X1X39X*",1
"X","X1X3X*",1
"X","X1X3X179X*",1
"X","X1X3X2X*",1
"X","X1X3X4X1X*",1
"X","X1X42X41X*",1
"X","X1X44X*",1
"X","X1X47X8X*",1
"X","X1X4X*",1
"X","X1X4X1X*",1
"X","X1X4X2XX*",1
"X","X1X4X47XX41X*",1
"X","X1X4X62X2XX*",1
"X","X1X4X9X1X*",1
"X","X1X4XX*",1
"X","X1X50X*",1
"X","X1X57X54XX*",1
"X","X1X57X60X29X32X*",1
"X","X1X58X4X*",1
"X","X1X58XX40X93X*",1
"X","X1X5X*",1
"X","X1X5X2X*",1
"X","X1X6X*",1
"X","X1X6X16X18X*",1
"X","X1X6X1X7X50X*",1
"X","X1X6X3X*",1
"X","X1X6XX1X*",1
"X","X1X6XXX*",1
"X","X1X70X*",1
"X","X1X71X72X*",1
"X","X1X74X*",1
"X","X1X76X*",1
"X","X1X77X4X81X*",1
"X","X1X77XX*",1
"X","X1X7X*",1
"X","X1X7XX*",1
"X","X1X80X*",1
"X","X1X80X79X*",1
"X","X1X82X57X27X*",1
"X","X1X8X2X9X*",1
"X","X1X96X1X111XXX9X*",1
"X","X1X97X*",1
"X","X1X9X*",1
"X","X1X9X10XX*",1
"X","X1X9X12XX*",1
"X","X1X9XX*",1
"X","X1XX*",3
"X","X1XX109X*",1
"X","X1XX15X41X27X*",1
"X","X1XX1X*",1
"X","X1XX1X146XX178X1X7X*",1
"X","X1XX1X15X*",1
"X","X1XX1X1X*",1
"X","X1XX1X78X*",1
"X","X1XX22X25X1X*",1
"X","X1XX23X*",1
"X","X1XX26X*",1
"X","X1XX29X86X174X89X91X*",1
"X","X1XX2X*",1
"X","X1XX2XX*",1
"X","X1XX3X*",1
"X","X1XX3X29X*",1
"X","X1XX3XX*",1.5
"X","X1XX40X*",1
"X","X1XX47X1X*",1
"X","X1XX4X*",1
"X","X1XX4XX1X*",1
"X","X1XX5X*",1
"X","X1XX64X47X*",1
"X","X1XX9X*",1
"X","X1XXX*",1
"X","X1XXX5X*",1
"X","X1XXX7X*",1
"X","X1XXX9X*",1
"X","X204X143X33X1X*",1
"X","X207X194X9XX1X*",1
"X","X20X*",1
"X","X20X11X74X*",1
"X","X20X18X59X*",1
"X","X20X19XX*",1
"X","X20X22X12X*",1
"X","X20X23X*",1
"X","X20X28X24X*",1
"X","X20X35X34X18X*",1
"X","X20X4XX*",1
"X","X20XX5X*",1
"X","X210X*",1
"X","X211X1X217X20XX14X30X*",1
"X","X213X*",1
"X","X216X*",1
"X","X219X301X1X*",1
"X","X21X*",1
"X","X21X18X*",1
"X","X21X1X*",1
"X","X21X20X*",1
"X","X21X28X2X3X*",1
"X","X21X2XX*",1
"X","X21X3X*",1
"X","X21X43X26X17X48X*",1
"X","X21X7X11X1X*",1
"X","X21XX*",1
"X","X21XX3X*",1
"X","X220X*",1
"X","X220X49X*",1
"X","X222X*",1
"X","X22X*",1
"X","X22X13X47X8XX1X*",1
"X","X22X18X*",1
"X","X22X1X*",1
"X","X22X1X27X*",1
"X","X22X21X*",1
"X","X22X23X*",1
"X","X22X24X*",1
"X","X22X24X23X1X*",1
"X","X22X2X20X*",1
"X","X22X34X*",1
"X","X22X39X18X*",1
"X","X22X3X*",1
"X","X22X46X*",1
"X","X22XX*",1
"X","X22XX22X21X*",1
"X","X230X2X117XX3X*",1
"X","X231X*",1
"X","X233X230X*",1
"X","X234X1X*",1
"X","X235X19X6X*",1
"X","X236X*",1
"X","X23X*",1
"X","X23X1X*",1
"X","X23X24X*",1
"X","X23X24X27X*",1
"X","X23X25X2X*",1
"X","X23X2X*",1
"X","X23X2X17XX*",1
"X","X23X38X8X21X*",1
"X","X23X3X15X*",1
"X","X23X8X*",1
"X","X23XX26X*",1
"X","X23XX49X22X*",1
"X","X242X*",1
"X","X243X*",1
"X","X244X1X208X*",1
"X","X248X1X277X*",1
"X","X24X*",1
"X","X24X141X27X138X*",1
"X","X24X1X*",1
"X","X24X25X*",1
"X","X24X25X40X*",1
"X","X24X26X*",1
"X","X24X26X27X*",1
"X","X24X43X*",1
"X","X24X7X*",1
"X","X24XX51X22X*",1
"X","X25X*",1
"X","X25X1X*",1
"X","X25X1X60X2X89X*",1
"X","X25X20X1X*",1
"X","X25X26X71X48X77X*",1
"X","X25X26X99X95X*",1
"X","X25X2X*",1
"X","X263XX266X*",1
"X","X264X257XX*",1
"X","X26X*",1
"X","X26X1X*",1
"X","X26X25X*",1
"X","X26X27X*",1
"X","X26X27XX*",1
"X","X26X27XX2X*",1
"X","X26X30XX*",1
"X","X26X3X*",1
"X","X26X44X1X*",1
"X","X26X54X*",1
"X","X26XX*",1.5
"X","X27X*",1
"X","X27X119X118X1XX*",1
"X","X27X23X24X27X*",1
"X","X27X23X8X20X7X21X*",1
"X","X27X23XX*",1
"X","X27X26X2X*",1
"X","X27X28X*",1
"X","X27X3X*",1
"X","X27X3X28X1X1X*",1
"X","X27X58X2X86X1X4X5X1X*",1
"X","X27X85X*",1
"X","X27XX*",1
"X","X27XX3X*",1
"X","X282X284X*",1
"X","X28X*",1
"X","X28X102X18X*",1
"X","X28X21X3X*",1
"X","X28X2X11XX*",1
"X","X28X2X28X54X19X*",1
"X","X28X32X*",1
"X","X28X35X*",1
"X","X299X*",1
"X","X29X*",1
"X","X29X10X1X*",1
"X","X29X16X*",1
"X","X29X1X*",1
"X","X29X26X3X*",1
"X","X29X28X*",1
"X","X29X30X*",1
"X","X29X33XX56X54X*",1
"X","X29X53X*",1
"X","X29XX*",1
"X","X29XX26XX2X*",1
"X","X29XX80X*",1
"X","X2X*",8
"X","X2X100X105X90X1X*",1
"X","X2X106X1X5X*",1
"X","X2X10X2X10X*",1
"X","X2X110XX229X1X230X232XX*",1
"X","X2X111X4X*",1
"X","X2X113X111X*",1
"X","X2X11X*",1
"X","X2X122X129X*",1
"X","X2X13X*",1
"X","X2X13X12X*",1
"X","X2X142X*",1
"X","X2X143X1X56X2X4X89X1XX93X*",1
"X","X2X14X*",1
"X","X2X14X3X4X*",1
"X","X2X15X6X2X*",1
"X","X2X16X*",1
"X","X2X170X171X*",1
"X","X2X17X*",1
"X","X2X181X177X*",1
"X","X2X189X45X55X100X106X91X90X91X8X7X*",1
"X","X2X190X102X2X1XX91X2XX*",1
"X","X2X191X*",1
"X","X2X192X108XX4X5X92XX1X3X*",1
"X","X2X19X*",1
"X","X2X19X21X*",1
"X","X2X1X*",1
"X","X2X1X1X*",1
"X","X2X1X26XX*",1
"X","X2X1X27X*",1
"X","X2X1X37X2X*",1
"X","X2X1X3X*",1
"X","X2X1X42X*",1
"X","X2X1X53X*",1
"X","X2X1X5X*",1
"X","X2X1X81X*",1
"X","X2X1XX*",1
"X","X2X1XX29X46X*",1
"X","X2X20X*",1
"X","X2X21X14XX10X*",1
"X","X2X21X18X*",1
"X","X2X21X1XX2XX*",1
"X","X2X22X*",1
"X","X2X22X16XX*",1
"X","X2X23X25X*",1
"X","X2X24X*",1
"X","X2X25X24X*",1
"X","X2X25X29X2X44XX35X*",1
"X","X2X27X25X*",1
"X","X2X27XX*",1
"X","X2X29X*",1
"X","X2X29X2XXX*",1
"X","X2X2X*",1
"X","X2X2X10X44X1X*",1
"X","X2X2X1X*",1
"X","X2X2X1X2X*",1
"X","X2X2X1X6X*",1
"X","X2X2X21X*",1
"X","X2X2X6X*",1
"X","X2X2X82X*",1
"X","X2X2XX*",1
"X","X2X31X2X*",1
"X","X2X32XX*",1
"X","X2X338X309XX*",1
"X","X2X34X*",1
"X","X2X37X*",1
"X","X2X39X*",1
"X","X2X3X*",1
"X","X2X3X105X107X91X2XX*",1
"X","X2X3X10XX*",1
"X","X2X3X140X*",1
"X","X2X3X184X176X2X*",1
"X","X2X3X1X*",1
"X","X2X3X25X*",1
"X","X2X3X2X*",1
"X","X2X3X2X30X16X3X7X*",1
"X","X2X3X2XX*",1
"X","X2X3X4X*",1
"X","X2X3X89X*",1
"X","X2X3X8X*",1
"X","X2X3X9X15X*",1
"X","X2X3XX*",1
"X","X2X40X23X21X*",1
"X","X2X42X*",1
"X","X2X48X59X*",1
"X","X2X4X*",1
"X","X2X4X3X*",1
"X","X2X4X5X*",1
"X","X2X4X9X*",1
"X","X2X51X*",1
"X","X2X52XX44X*",1
"X","X2X55X109X11X71X7X*",1
"X","X2X57X1X1X*",1
"X","X2X57X3X*",1
"X","X2X5X*",1
"X","X2X5X6X12X16X*",1
"X","X2X5X85X176X*",1
"X","X2X5XX*",1
"X","X2X64X37XX29X*",1
"X","X2X65X*",1
"X","X2X66X*",1
"X","X2X6X*",1
"X","X2X6X2X*",1
"X","X2X6X2XX23X3X*",1
"X","X2X6XX*",1
"X","X2X79X*",1
"X","X2X7X*",1
"X","X2X7X3X*",1
"X","X2X8X4X1X*",1
"X","X2X99XX*",1
"X","X2X9XX*",1
"X","X2XX*",2
"X","X2XX12X2X3X*",1
"X","X2XX178X25X*",1
"X","X2XX1X*",1
"X","X2XX21X*",1
"X","X2XX2X*",1
"X","X2XX2X170X*",1
"X","X2XX2X21X1X11X*",1
"X","X2XX30XX3X*",1
"X","X2XX44X*",1
"X","X2XX4X*",1
"X","X2XX63X2XX*",1
"X","X2XX80X*",1
"X","X2XXX*",1
"X","X309X5XX316X435X*",1
"X","X30X*",1
"X","X30X16X98X*",1
"X","X30X18X*",1
"X","X30X1X*",1
"X","X30X27X181X*",1
"X","X30X28X178X*",1
"X","X30X28X4X167X126X43X169X164X*",1
"X","X30X29X1X*",1
"X","X30X31X*",1
"X","X30X34X*",1
"X","X30X36X35X1X1X2X*",1
"X","X30X39X*",1
"X","X30X8X1X18X2X*",1
"X","X30XX*",1
"X","X312X310X229X*",1
"X","X314X250X66XX*",1
"X","X317X80X*",1
"X","X31X*",1
"X","X31X299X330XX18X*",1
"X","X31X29X*",1
"X","X31X2XX*",1
"X","X31X30X*",1
"X","X31X3X88X51X*",1
"X","X31X7X*",1
"X","X31X88X*",1
"X","X321X3X*",1
"X","X32X*",1
"X","X32X1XX*",1
"X","X32X25X*",1
"X","X32X2X*",1
"X","X32X31X29XX2X2X*",1
"X","X32X34X*",1
"X","X32X34X68X24X*",1
"X","X32X3X*",1
"X","X32X3XX3X*",1
"X","X32X42X184X182X39X*",1
"X","X32X43X1XX*",1
"X","X32X5X*",1
"X","X32XX*",1
"X","X32XX36X3X*",1
"X","X32XX38X*",1
"X","X335X11X8X*",1
"X","X33X*",1
"X","X33X10X*",1
"X","X33X10X2X15X22XX*",1
"X","X33X3X30X31X64X*",1
"X","X33XX1X28X63X*",1
"X","X33XX36XX*",1
"X","X342X*",1
"X","X34X*",1
"X","X34X2X*",1
"X","X34X30X121X*",1
"X","X34X50X*",1
"X","X34X64X8X26X23X*",1
"X","X34X70X36X*",1
"X","X34X86X*",1
"X","X34XX14X1X*",1
"X","X34XX33X*",1
"X","X34XX35XX*",1
"X","X35X*",1
"X","X35X12X*",1
"X","X35X154X157X*",1
"X","X35X1X*",1
"X","X35X28X8XX*",1
"X","X35X2XX*",1
"X","X35X37X*",1
"X","X35X3X*",1
"X","X35X50XX*",1
"X","X35XX*",1
"X","X369X3X*",1
"X","X36X*",1
"X","X36X128X*",1
"X","X36X1X5X46X2X*",1
"X","X36X2X38X*",1
"X","X36X32X89X1X10X13XX*",1
"X","X36X34X*",1
"X","X36X34X73X2X*",1
"X","X36X35X*",1
"X","X36X35X1X12X*",1
"X","X36X38X*",1
"X","X36X3X*",1
"X","X36X41XX3X*",1
"X","X36X55X52X54X58X38X*",1
"X","X36X5X10X*",1
"X","X36X90X*",1
"X","X36XX*",1
"X","X373X179XX*",1
"X","X373X179XX1X*",1
"X","X373X2X175X1X*",1
"X","X373X4X183X1X*",1
"X","X376X181XX*",1
"X","X376X183X1X2X*",1
"X","X376X1X183XX*",1
"X","X376X1X184X2X1X*",1
"X","X378X184X2X1X*",1
"X","X378X376X182X2X1XX*",1
"X","X378X3X204X6X2X1X*",1
"X","X378X3X383X185XXX*",1
"X","X37X*",1
"X","X37X129X94X3X*",1
"X","X37X1X72XX79X1X*",1
"X","X37X30X29X*",1
"X","X37X31X1X92XX18X23X*",1
"X","X37X39X64X*",1
"X","X37XX*",1
"X","X38X*",1
"X","X38X18X*",1
"X","X38X1X*",1
"X","X38X1X34XX14X1X*",1
"X","X38X39X*",1
"X","X38X42XXX*",1
"X","X38X4X*",1
"X","X38XX68X28X*",1
"X","X392X11X*",1
"X","X3994X*",1
"X","X3998X2X*",1
"X","X39X*",1
"X","X39X35XX*",1
"X","X39X36XX5X23X*",1
"X","X39X38X58X*",1
"X","X39X3X*",1
"X","X39X40X*",1
"X","X39X44X38X*",1
"X","X39X46X49XX*",1
"X","X39XX*",1
"X","X39XX45X5XX*",1
"X","X3X*",4
"X","X3X100X*",1
"X","X3X10XX1X6X2X*",1
"X","X3X114X*",1
"X","X3X12X*",1
"X","X3X13X*",1
"X","X3X13X1X4X15XX9X*",1
"X","X3X142X*",1
"X","X3X15X2X16X*",1
"X","X3X16XX*",1
"X","X3X178X*",1
"X","X3X178X247X255XX1X178X*",1
"X","X3X17XXX*",1
"X","X3X180X*",1
"X","X3X180XX*",1
"X","X3X189X*",1
"X","X3X18X*",1
"X","X3X19X*",1
"X","X3X1X*",1
"X","X3X1X15X*",1
"X","X3X1X15X14X11X*",1
"X","X3X1X2X*",1
"X","X3X1X32X*",1
"X","X3X1X51X*",1
"X","X3X1X64X45X*",1
"X","X3X1X6X*",1
"X","X3X1X8X*",1
"X","X3X1XX*",1
"X","X3X1XX14X2X*",1
"X","X3X20X10X*",1
"X","X3X20X1X3XX*",1
"X","X3X214X*",1
"X","X3X23X*",1
"X","X3X2X*",1
"X","X3X2X19X5XX1X*",1
"X","X3X2X1X*",1
"X","X3X2X1X78X*",1
"X","X3X2X20X16X6X*",1
"X","X3X2X22X*",1
"X","X3X2X34XX*",1
"X","X3X2X39XX*",1
"X","X3X2X3X*",1
"X","X3X2X51X14X17X*",1
"X","X3X2X63X*",1
"X","X3X2X7X*",1
"X","X3X2X93X104X5X3X8X1X*",1
"X","X3X2XX*",1
"X","X3X30X*",1
"X","X3X30X27X*",1
"X","X3X30X2X4X*",1
"X","X3X31X*",1
"X","X3X32X*",1
"X","X3X34X*",1
"X","X3X37X15X*",1
"X","X3X37X38X40X72X35X*",1
"X","X3X382X184X2X1XX*",1
"X","X3X3X*",1
"X","X3X3X44X*",1
"X","X3X3X4X*",1
"X","X3X3X6X*",1
"X","X3X43X2XX*",1
"X","X3X46X83X*",1
"X","X3X48X*",1
"X","X3X49X*",1
"X","X3X4X*",1
"X","X3X4X1X*",1
"X","X3X4X3X*",1
"X","X3X4X78X*",1
"X","X3X50X1X41X*",1
"X","X3X51X19X24X9X*",1
"X","X3X52X54X*",1
"X","X3X56X1X7X*",1
"X","X3X56X54XX*",1
"X","X3X58X*",1
"X","X3X59X10X14X16X*",1
"X","X3X59X277X*",1
"X","X3X5X1XX5X*",1
"X","X3X5X21X*",1
"X","X3X5X3X*",1
"X","X3X5X3XX*",1
"X","X3X5X4X*",1
"X","X3X63X*",1
"X","X3X6X*",1
"X","X3X77X*",1
"X","X3X77X80X3X*",1
"X","X3X7X*",1
"X","X3X7XX*",1
"X","X3X8X*",1
"X","X3X8X16X17X2X*",1
"X","X3X9X11X*",1
"X","X3X9X67X64X2X6X*",1
"X","X3X9XX*",1
"X","X3XX*",1
"X","X3XX101X*",1
"X","X3XX141X1X139X3X*",1
"X","X3XX14X*",1
"X","X3XX1X*",1
"X","X3XX1X196X46XX246X*",1.5
"X","X3XX1X3X*",1
"X","X3XX1X6X*",1
"X","X3XX3X*",1
"X","X3XX3X2XX*",1
"X","X3XX3X2XX2X6X*",1
"X","X3XX3X3XX1X*",1
"X","X3XX6X2X2X*",1
"X","X3XX6XX3XX6X*",1
"X","X3XXX*",1
"X","X40X*",1
"X","X40X19X*",1
"X","X40X35X39X2X9X29X*",1
"X","X40X38X26X2X*",1
"X","X40X43X50X*",1
"X","X40X61X*",1
"X","X411X410X1X*",1
"X","X41X*",1
"X","X41X117X*",1
"X","X41X16X55X*",1
"X","X41X290X254X2X7XX22X*",1
"X","X41X29X*",1
"X","X41X2XX*",1
"X","X41X33X*",1
"X","X41X37X*",1
"X","X41X42X48X*",1
"X","X41X43X3X40X45X*",1
"X","X41X7X*",1
"X","X41X80X*",1
"X","X41XX*",1
"X","X41XX49X*",1
"X","X420X1X*",1
"X","X424X*",1
"X","X42X*",1
"X","X42X1X*",1
"X","X42X1X13X*",1
"X","X42X41X*",1
"X","X42X45X44X*",1
"X","X42X64X63X1X*",1
"X","X42XX1X*",1
"X","X43X*",1
"X","X43X140X225X*",1
"X","X43X1X42X*",1
"X","X43X25X*",1
"X","X43X45X48X*",1
"X","X43XX4X3X*",1
"X","X44X*",1
"X","X44X11XX11X*",1
"X","X44X1X2X1X*",1
"X","X44X1X47X96X3XX*",1
"X","X44X42X*",1
"X","X44X42X46X1X10X*",1
"X","X44XX2X*",1
"X","X45X19X24X*",1
"X","X45X1X78X31X*",1
"X","X45X77X79X*",1
"X","X46X*",1
"X","X46X1X*",1
"X","X46X1X11X3X5X7X*",1
"X","X46X31X*",1
"X","X46X31X89X5X2X*",1
"X","X46X41X*",1
"X","X46X76X*",1
"X","X47X*",1
"X","X47X19X17X44X*",1
"X","X47X20X71X*",1
"X","X47X23X46X21X*",1
"X","X47X48X*",1
"X","X47XX*",1
"X","X47XX27X19X*",1
"X","X48X*",1
"X","X48X2XX47X*",1
"X","X49X*",1
"X","X49X51X55X33X*",1
"X","X49X5X1X55X45X43X*",1
"X","X49X75X*",1
"X","X4X*",2
"X","X4X174X173X*",1
"X","X4X196X198X2X1X*",1
"X","X4X1X*",1
"X","X4X1X10X13X12XX*",1
"X","X4X1X1X*",1
"X","X4X1X2X1X1X9XX*",1
"X","X4X1X6XX*",1
"X","X4X1X90X*",1
"X","X4X1XX*",1
"X","X4X21X23X*",1
"X","X4X23X*",1
"X","X4X2X*",1
"X","X4X2X1X5X*",1
"X","X4X2X3X*",1
"X","X4X2X6X*",1
"X","X4X2X88X89X*",1
"X","X4X2XX*",1
"X","X4X3X*",1
"X","X4X3X3X*",1
"X","X4X3X4X*",1
"X","X4X41X6X48X20X*",1
"X","X4X46X*",1
"X","X4X4X*",1
"X","X4X5X*",1
"X","X4X5X34X37X*",1
"X","X4X61X*",1
"X","X4X6X*",1
"X","X4X6X1X*",1
"X","X4X83X*",1
"X","X4X8X*",1
"X","X4X8XX3X*",1
"X","X4X9X*",1
"X","X4XX*",1
"X","X4XX1X*",1
"X","X4XX1X2X29X*",1
"X","X4XX4X*",1
