pdbidx,strpdbidx,pdbname,coverage,source,unique_motif
752,s752,1QNZ_1,0.625,ab,53
782,s782,3WIH_1,0.6666666666666666,ab,54
812,s812,4O4Y_1,0.5,ab,57
2,s2,2AEQ_1,0.25,ab,11
32,s32,5EZO_1,0.375,ab,15
62,s62,4YFL_2,0.5,ab,18
92,s92,4TUK_1,0.1111111111111111,ab,24
122,s122,4LSQ_1,0.4444444444444444,ab,27
152,s152,4I18_1,0.25,ab,29
182,s182,2NR6_1,0.6,ab,31
212,s212,4N90_1,1.0,ab,31
242,s242,3UJI_1,0.6666666666666666,ab,33
272,s272,3G5Y_1,0.42857142857142855,ab,34
302,s302,1OAZ_1,0.7142857142857143,ab,36
332,s332,1WEJ_1,0.5714285714285714,ab,37
362,s362,4V1D_1,0.25,ab,40
392,s392,5CD5_1,0.25,ab,42
422,s422,4HFU_1,0.4,ab,44
452,s452,2HKF_1,0.375,ab,48
482,s482,4BH8_1,1.0,ab,48
512,s512,5DMI_1,0.7142857142857143,ab,49
542,s542,4TUL_1,0.7777777777777778,ab,50
572,s572,4N0Y_1,0.5,ab,53
602,s602,3O6L_1,0.42857142857142855,ab,55
632,s632,4G3Y_1,0.6666666666666666,ab,56
662,s662,1IKF_1,0.0,ab,57
692,s692,5TLK_1,0.5714285714285714,ab,59
722,s722,3EFD_1,0.75,ab,60
752,s752,2IGF_1,0.6666666666666666,ab,62
782,s782,3NCY_1,0.8333333333333334,ab,62
812,s812,5DD0_1,0.5,ab,64
2,s2,2GSI_3,0.3333333333333333,ab,9
32,s32,3U9P_1,0.16666666666666666,ab,13
62,s62,5CEZ_1,0.25,ab,16
92,s92,3IFO_1,0.16666666666666666,ab,19
122,s122,1FPT_1,0.3333333333333333,ab,22
152,s152,5E2W_1,0.8333333333333334,ab,22
182,s182,4OD2_1,0.375,ab,25
212,s212,1TET_1,0.625,ab,26
242,s242,1NCA_1,0.5714285714285714,ab,28
272,s272,3LHP_1,0.3333333333333333,ab,31
302,s302,5F9W_1,0.5714285714285714,ab,32
332,s332,4TQE_1,0.3,ab,35
362,s362,2ADF_1,0.5,ab,37
392,s392,4XXD_1,0.4444444444444444,ab,42
422,s422,4YC2_2,0.5,ab,43
452,s452,5FCU_1,0.25,ab,47
482,s482,4HJ0_1,0.5555555555555556,ab,49
512,s512,4XVJ_1,0.2857142857142857,ab,52
542,s542,4I18_1,0.25,ab,54
572,s572,2UZI_1,0.6666666666666666,ab,55
602,s602,2R0K_1,0.8333333333333334,ab,56
632,s632,1ORQ_1,0.5714285714285714,ab,56
662,s662,3DVG_1,0.8,ab,57
692,s692,4XC1_1,0.6666666666666666,ab,59
722,s722,5TZT_1,0.7142857142857143,ab,60
752,s752,4LSP_1,0.5555555555555556,ab,63
782,s782,4FFV_1,0.5,ab,64
812,s812,1QFW_2,0.8333333333333334,ab,65
2,s2,3NFP_1,0.125,ab,11
32,s32,3SGE_1,0.3,ab,15
62,s62,4K94_1,0.25,ab,20
92,s92,4UT6_1,0.6666666666666666,ab,20
122,s122,5EOC_2,0.6,ab,22
152,s152,5DHV_1,0.6,ab,24
182,s182,4N90_1,1.0,ab,24
212,s212,5IQ9_1,0.25,ab,27
242,s242,4J4P_1,0.75,ab,27
272,s272,4FFZ_1,0.7142857142857143,ab,28
302,s302,3J70_1,0.5714285714285714,ab,31
332,s332,5D93_1,0.5714285714285714,ab,33
362,s362,2QHR_1,0.6,ab,35
392,s392,3GBN_1,0.6,ab,35
422,s422,2EIZ_1,0.5,ab,36
452,s452,3NH7_1,0.4444444444444444,ab,40
482,s482,4KI5_2,0.6666666666666666,ab,42
512,s512,5DD0_1,0.75,ab,43
542,s542,5J13_1,0.42857142857142855,ab,46
572,s572,1KB5_1,0.8,ab,47
602,s602,3A67_1,0.7777777777777778,ab,47
632,s632,4YHP_3,0.5,ab,48
662,s662,4XI5_1,0.6666666666666666,ab,49
692,s692,4OGY_2,0.5,ab,51
722,s722,1G7H_1,0.5,ab,51
752,s752,1J1X_1,0.7777777777777778,ab,51
782,s782,5IJK_1,0.6666666666666666,ab,52
812,s812,1ZA3_1,0.2857142857142857,ab,55
2,s2,4S1S_1,0.2222222222222222,ab,8
32,s32,4Z0X_1,0.125,ab,13
62,s62,1DVF_1,0.5,ab,14
92,s92,2WUC_1,0.14285714285714285,ab,18
122,s122,5C7X_1,1.0,ab,18
152,s152,4XP4_1,0.4,ab,20
182,s182,5DRZ_1,0.5,ab,22
212,s212,1E4X_2,0.2857142857142857,ab,26
242,s242,1N0X_1,0.6,ab,27
272,s272,4KXZ_1,1.0,ab,27
302,s302,4YDV_1,0.5,ab,28
332,s332,4RAU_1,0.7142857142857143,ab,30
362,s362,5MHR_1,0.6,ab,30
392,s392,1F90_1,0.4,ab,33
422,s422,4HCR_1,0.375,ab,36
452,s452,1J1O_1,0.5555555555555556,ab,38
482,s482,3U7Y_1,0.42857142857142855,ab,40
512,s512,3KS0_1,0.8,ab,41
542,s542,2YPV_1,0.7142857142857143,ab,43
572,s572,4UT6_1,0.6666666666666666,ab,43
602,s602,5FYL_1,0.75,ab,44
632,s632,1YQV_1,0.5,ab,46
662,s662,1LK3_1,0.25,ab,47
692,s692,2NR6_1,0.7,ab,48
722,s722,4O4Y_1,0.5,ab,51
752,s752,5CIL_1,0.7142857142857143,ab,52
782,s782,1G7M_1,0.5,ab,52
812,s812,4YBQ_1,0.7142857142857143,ab,53
2,s2,1YNT_1,0.2857142857142857,ab,11
32,s32,5D8J_1,0.4,ab,14
62,s62,4ZPT_1,0.42857142857142855,ab,18
92,s92,2DQE_1,0.5555555555555556,ab,20
122,s122,3V6O_1,0.8333333333333334,ab,21
152,s152,1GC1_1,0.6666666666666666,ab,22
182,s182,3B2U_1,0.6666666666666666,ab,24
212,s212,5KVG_1,0.75,ab,26
242,s242,1ORS_1,0.5,ab,27
272,s272,2B4C_1,0.6,ab,29
302,s302,5TBD_1,0.3333333333333333,ab,33
332,s332,3MNW_1,0.3333333333333333,ab,37
362,s362,1E4X_2,0.7142857142857143,ab,38
392,s392,5F3B_1,0.5,ab,39
422,s422,4HF5_1,0.6666666666666666,ab,40
452,s452,4YFL_2,0.6666666666666666,ab,42
482,s482,4O58_1,0.75,ab,43
512,s512,5HJ3_1,0.8571428571428571,ab,44
542,s542,3KR3_1,0.6666666666666666,ab,46
572,s572,5FYL_1,0.75,ab,47
602,s602,1SY6_1,0.5714285714285714,ab,49
632,s632,5U3N_1,0.5,ab,51
662,s662,2GSI_1,0.8333333333333334,ab,52
692,s692,1KIR_1,0.75,ab,52
722,s722,5U3L_1,1.0,ab,52
752,s752,4OJF_1,0.6666666666666666,ab,54
782,s782,3EOA_1,0.7142857142857143,ab,54
812,s812,4XGZ_1,0.7142857142857143,ab,54
2,s2,2I9L_1,0.42857142857142855,ab,8
32,s32,5DHV_1,0.6,ab,10
62,s62,2QR0_1,0.4,ab,13
92,s92,5KVE_1,0.2857142857142857,ab,17
122,s122,1ORQ_1,0.42857142857142855,ab,18
152,s152,3U0T_1,0.5,ab,22
182,s182,2R0K_1,0.5,ab,25
212,s212,3X3F_1,0.5,ab,27
242,s242,3ZTN_1,0.6666666666666666,ab,28
272,s272,3SO3_1,0.5714285714285714,ab,29
302,s302,2QAD_1,0.75,ab,30
332,s332,4XMK_1,0.6666666666666666,ab,31
362,s362,3O41_1,1.0,ab,31
392,s392,1XIW_1,0.5,ab,33
422,s422,4KXZ_1,1.0,ab,33
452,s452,4HG4_1,0.7142857142857143,ab,33
482,s482,4YC2_1,0.6666666666666666,ab,35
512,s512,4YDJ_1,0.2857142857142857,ab,38
542,s542,1NMB_1,0.8,ab,39
572,s572,3UJJ_1,0.4444444444444444,ab,41
602,s602,5E8E_1,1.0,ab,41
632,s632,2Y36_1,0.4,ab,43
662,s662,4R2G_1,0.75,ab,44
692,s692,5D93_1,0.5714285714285714,ab,46
722,s722,2H1P_1,0.4,ab,49
752,s752,3PNW_1,0.6,ab,51
782,s782,5TLK_3,0.7142857142857143,ab,52
812,s812,2FD6_1,0.4,ab,55
2,s2,5T5B_1,0.2,ab,8
32,s32,2XQY_1,0.3333333333333333,ab,12
62,s62,2GSI_2,0.5,ab,15
92,s92,4XH2_1,0.42857142857142855,ab,17
122,s122,3SE9_1,0.25,ab,22
152,s152,5K59_1,0.5,ab,24
182,s182,3MNW_1,0.3333333333333333,ab,28
212,s212,3MAC_1,0.5,ab,31
242,s242,1FPT_1,0.5,ab,33
272,s272,4DN4_1,0.7142857142857143,ab,33
302,s302,4JM2_2,0.5,ab,34
332,s332,3LEX_1,0.375,ab,36
362,s362,2LTQ_2,0.6,ab,37
392,s392,3IDG_1,0.8,ab,38
422,s422,2EKS_1,0.4,ab,41
452,s452,1FBI_1,0.6666666666666666,ab,42
482,s482,4NNP_1,0.4,ab,44
512,s512,1FRG_1,0.5,ab,46
542,s542,2OSL_1,0.6,ab,47
572,s572,4H8W_1,0.5714285714285714,ab,49
602,s602,2ADF_1,0.375,ab,52
632,s632,1MVU_1,0.8333333333333334,ab,52
662,s662,1YNT_1,0.8571428571428571,ab,53
692,s692,3VI3_1,0.875,ab,54
722,s722,3RKD_1,0.8,ab,55
752,s752,2VXQ_1,0.625,ab,56
782,s782,3ZKM_1,0.75,ab,57
812,s812,5TLJ_3,0.7142857142857143,ab,58
2,s2,4KVN_1,0.16666666666666666,ab,8
32,s32,4IDJ_1,0.4,ab,11
62,s62,4XVJ_1,0.14285714285714285,ab,15
92,s92,4DN4_1,0.7142857142857143,ab,15
122,s122,4FQJ_1,0.4444444444444444,ab,16
152,s152,5C8J_1,0.5,ab,17
182,s182,5FYK_2,0.42857142857142855,ab,19
212,s212,3IDG_1,0.4,ab,22
242,s242,3O6L_1,0.2857142857142857,ab,25
272,s272,2R0L_1,0.375,ab,27
302,s302,4DGV_1,0.75,ab,28
332,s332,4AG4_1,0.7142857142857143,ab,30
362,s362,2NYY_1,0.8333333333333334,ab,31
392,s392,5IQ7_1,0.25,ab,34
422,s422,5D8J_1,0.8,ab,35
452,s452,3BN9_1,0.7142857142857143,ab,36
482,s482,5DUR_1,0.6,ab,36
512,s512,1P2C_1,0.5714285714285714,ab,37
542,s542,4ONG_1,0.5,ab,40
572,s572,4XHJ_1,0.8333333333333334,ab,40
602,s602,4HCR_1,0.5,ab,42
632,s632,3D9A_1,0.625,ab,43
662,s662,1TET_1,0.625,ab,44
692,s692,4R4F_1,0.5714285714285714,ab,45
722,s722,2FJH_1,0.5,ab,47
752,s752,3LQA_1,0.8,ab,48
782,s782,4OKV_1,0.4444444444444444,ab,52
812,s812,5IGX_1,0.5,ab,53
2,s2,2QQN_1,0.75,ab,7
32,s32,2NYY_1,0.0,ab,13
62,s62,4DVR_1,0.5,ab,16
92,s92,3U7Y_1,0.2857142857142857,ab,19
122,s122,4G6A_2,0.6,ab,21
152,s152,3KJ4_2,0.5,ab,22
182,s182,4FFW_1,0.375,ab,25
212,s212,3B9K_1,0.5,ab,26
242,s242,5TLK_3,0.5714285714285714,ab,28
272,s272,4I18_1,0.25,ab,30
302,s302,4YFL_1,0.5714285714285714,ab,33
332,s332,3PNW_1,0.4,ab,36
362,s362,4JR9_1,0.5,ab,36
392,s392,5I8C_1,0.5,ab,38
422,s422,3QWO_1,0.625,ab,39
452,s452,1CE1_1,0.3333333333333333,ab,41
482,s482,4Y5V_1,0.4444444444444444,ab,45
512,s512,4GMS_2,0.5,ab,46
542,s542,1FDL_1,0.625,ab,46
572,s572,1LK3_1,0.25,ab,47
602,s602,2DD8_1,0.8,ab,47
632,s632,4WEB_1,0.5714285714285714,ab,49
662,s662,2W65_1,0.8333333333333334,ab,50
692,s692,1F58_1,0.4,ab,52
722,s722,4N9G_2,0.5,ab,54
752,s752,5KN5_1,0.5,ab,55
782,s782,5LQB_1,0.6666666666666666,ab,57
812,s812,3ULU_3,0.625,ab,58
2,s2,4ZFO_1,0.125,ab,13
32,s32,2Y5T_1,0.4,ab,16
62,s62,4YBQ_1,0.2857142857142857,ab,20
92,s92,4JZO_1,0.42857142857142855,ab,23
122,s122,2EH8_1,0.5,ab,26
152,s152,1CU4_1,0.375,ab,29
182,s182,4KI5_1,0.3333333333333333,ab,32
212,s212,5F9O_1,0.375,ab,35
242,s242,4N9G_2,0.5,ab,37
272,s272,5GGT_1,1.0,ab,37
302,s302,4HZL_1,0.6666666666666666,ab,39
332,s332,4RDQ_1,0.5714285714285714,ab,41
362,s362,4DN4_1,0.7142857142857143,ab,41
392,s392,4LST_1,0.4444444444444444,ab,43
422,s422,4OLX_1,0.5714285714285714,ab,43
452,s452,5DLM_1,0.45454545454545453,ab,47
482,s482,3PGF_1,0.5555555555555556,ab,48
512,s512,4YDI_1,0.5714285714285714,ab,49
542,s542,1XGY_1,0.8333333333333334,ab,49
572,s572,3NH7_1,0.5555555555555556,ab,52
602,s602,3U9P_2,0.6,ab,54
632,s632,1NCB_1,0.5714285714285714,ab,56
662,s662,5MVZ_1,1.0,ab,56
692,s692,4LSP_1,0.5555555555555556,ab,59
722,s722,2DQF_1,0.5,ab,61
752,s752,3WKM_1,0.625,ab,64
782,s782,2GSI_2,0.6666666666666666,ab,66
812,s812,3D0L_1,0.7142857142857143,ab,67
2,s2,4Z5R_1,0.0,ab,9
32,s32,2ZJS_1,0.6,ab,11
62,s62,1G7J_1,0.25,ab,14
92,s92,4S1S_1,0.1111111111111111,ab,17
122,s122,4LSQ_1,0.4444444444444444,ab,20
152,s152,3WKM_1,0.25,ab,26
182,s182,4XVT_1,0.375,ab,28
212,s212,4OT1_1,0.3333333333333333,ab,29
242,s242,4IDJ_1,0.6,ab,31
272,s272,4JPK_1,0.5555555555555556,ab,32
302,s302,4YR6_1,0.6,ab,34
332,s332,2FJH_1,0.5,ab,36
362,s362,3EFF_1,0.6666666666666666,ab,36
392,s392,1GC1_1,1.0,ab,36
422,s422,1TZH_1,0.5714285714285714,ab,37
452,s452,5DMI_1,0.7142857142857143,ab,38
482,s482,5FGC_1,0.3333333333333333,ab,41
512,s512,3S37_1,0.75,ab,41
542,s542,3MAC_1,0.5,ab,44
572,s572,3QUM_2,0.625,ab,45
602,s602,2IH3_1,0.375,ab,47
632,s632,2NR6_1,0.7,ab,48
662,s662,2XQY_1,0.4444444444444444,ab,51
692,s692,3GRW_1,0.5,ab,53
722,s722,3UJJ_1,0.3333333333333333,ab,56
752,s752,2XZQ_1,0.2857142857142857,ab,58
782,s782,2OQJ_1,1.0,ab,58
812,s812,5D96_1,0.7142857142857143,ab,59
2,s2,1YJD_1,0.16666666666666666,ab,10
32,s32,4ZS7_1,0.42857142857142855,ab,14
62,s62,1A3R_1,0.1111111111111111,ab,20
92,s92,4LVH_3,0.25,ab,23
122,s122,3BSZ_1,0.625,ab,25
152,s152,4JG1_1,0.6,ab,27
182,s182,4UT9_1,0.5,ab,28
212,s212,4DGV_1,0.5,ab,30
242,s242,5E8D_1,0.875,ab,31
272,s272,3OPZ_2,0.625,ab,33
302,s302,3DVN_1,0.6,ab,35
332,s332,1GC1_1,0.3333333333333333,ab,37
362,s362,5GZO_1,0.5714285714285714,ab,39
392,s392,5SY8_1,0.4,ab,42
422,s422,5U3O_1,0.5,ab,44
452,s452,4LSR_1,0.7,ab,46
482,s482,3MAC_1,0.5,ab,49
512,s512,3FN0_1,0.6,ab,50
542,s542,4YDJ_1,0.2857142857142857,ab,53
572,s572,3IDX_1,0.5,ab,55
602,s602,2NYY_1,0.8333333333333334,ab,56
632,s632,3T3P_1,0.7142857142857143,ab,57
662,s662,5EA0_1,0.8333333333333334,ab,58
692,s692,3X3F_1,0.5,ab,60
722,s722,4Q0X_1,0.8,ab,61
752,s752,4I18_1,0.25,ab,63
782,s782,4HLZ_1,1.0,ab,63
812,s812,1BJ1_1,0.6,ab,65
2,s2,1EO8_1,0.25,ab,10
32,s32,2EIZ_1,0.2,ab,14
62,s62,4XNQ_1,0.14285714285714285,ab,18
92,s92,5TQQ_1,0.2,ab,23
122,s122,1ORQ_1,0.42857142857142855,ab,24
152,s152,3DRQ_1,0.5,ab,26
182,s182,4HS8_1,1.0,ab,26
212,s212,1ORS_1,0.6666666666666666,ab,26
242,s242,1SY6_1,0.5714285714285714,ab,28
272,s272,1OB1_1,0.5,ab,31
302,s302,4QCI_1,0.5714285714285714,ab,33
332,s332,2A6I_1,0.42857142857142855,ab,34
362,s362,5TE7_1,0.4444444444444444,ab,36
392,s392,3BGF_1,0.42857142857142855,ab,37
422,s422,1KEN_1,0.6666666666666666,ab,38
452,s452,5E94_1,0.6666666666666666,ab,39
482,s482,1XGU_1,0.625,ab,40
512,s512,5TH9_1,0.5555555555555556,ab,43
542,s542,4EDX_1,0.5714285714285714,ab,43
572,s572,4CNI_1,0.7142857142857143,ab,44
602,s602,5CWS_1,0.5,ab,44
632,s632,5T29_1,0.6,ab,46
662,s662,4OII_1,0.4444444444444444,ab,50
692,s692,2HRP_1,0.6,ab,52
722,s722,4UU9_1,0.6666666666666666,ab,53
752,s752,5KTE_1,0.5,ab,54
782,s782,3MLY_1,0.5714285714285714,ab,56
812,s812,1F58_1,0.4,ab,58
2,s2,3MNW_1,0.1111111111111111,ab,11
32,s32,5DUM_1,0.25,ab,13
62,s62,5EOQ_1,0.2857142857142857,ab,15
92,s92,3OPZ_2,0.5,ab,18
122,s122,3GGW_1,0.4,ab,21
152,s152,5X08_1,0.3333333333333333,ab,25
182,s182,3R1G_1,0.5,ab,27
212,s212,4LVH_3,0.5,ab,29
242,s242,1NAK_1,0.5,ab,32
272,s272,5EOR_1,0.7142857142857143,ab,34
302,s302,4LU5_1,0.42857142857142855,ab,37
332,s332,2J6E_1,0.6666666666666666,ab,37
362,s362,5EII_1,0.5,ab,38
392,s392,2Y5T_1,0.4,ab,41
422,s422,4RDQ_1,0.7142857142857143,ab,42
452,s452,5ANM_3,0.75,ab,43
482,s482,1UAC_1,0.625,ab,44
512,s512,5CEZ_1,0.75,ab,45
542,s542,3A6C_1,0.5555555555555556,ab,46
572,s572,4KI5_2,0.8333333333333334,ab,47
602,s602,2CMR_1,0.5,ab,48
632,s632,1E6J_1,0.4,ab,51
662,s662,5EN2_1,0.5,ab,53
692,s692,5EA0_1,0.8333333333333334,ab,54
722,s722,4GMS_2,0.5,ab,55
752,s752,5IKC_1,0.75,ab,56
782,s782,4YBL_1,0.8333333333333334,ab,57
812,s812,4YE4_1,0.6,ab,59
2,s2,3HR5_1,0.3333333333333333,ab,6
32,s32,5B3J_2,0.2857142857142857,ab,10
62,s62,4J8R_1,0.2857142857142857,ab,12
92,s92,3P0Y_1,0.42857142857142855,ab,15
